header,question_type,question_english,question_spanish,option_code,option_english,option_spanish,question_order
mb_a1400h,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",h,Pech,Pech,32
mb_a1400i,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",i,Mayangna,Mayangna,32
mb_a1400j,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",j,Other,Otro,32
mb_a1500,multiple_choice,Where was your maternal grandfather born?,¿Dónde nació su abuelo por parte de su mama?,1,This village,Esta aldea,33
mb_a1500,multiple_choice,Where was your maternal grandfather born?,¿Dónde nació su abuelo por parte de su mama?,2,Another place in Honduras,Otro lugar en Honduras,33
mb_a1500,multiple_choice,Where was your maternal grandfather born?,¿Dónde nació su abuelo por parte de su mama?,3,Outside of Honduras,Fuera de Honduras,33
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,1,Atlántida,Atlántida,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,2,Choluteca,Choluteca,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,3,Colón,Colón,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,4,Comayagua,Comayagua,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,5,Copán,Copán,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,6,Cortes,Cortes,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,7,El Paraíso,El Paraíso,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,8,Francisco Morazán,Francisco Morazán,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,9,Gracias a Dios,Gracias a Dios,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,10,Intibucá,Intibucá,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,11,Islas de la Bahía,Islas de la Bahía,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,12,La Paz,La Paz,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,13,Lempira,Lempira,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,14,Ocotepeque,Ocotepeque,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,15,Olancho,Olancho,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,16,Santa Bárbara,Santa Bárbara,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,17,Valle,Valle,34
mb_a1600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,18,Yoro,Yoro,34
mb_a1700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,1,Copán Ruinas,Copán Ruinas,35
mb_a1700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,2,Cabañas,Cabañas,35
mb_a1700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,3,Santa Rita,Santa Rita,35
mb_a1700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,4,San Jeronimo,San Jeronimo,35
mb_a1700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,5,Other,Otro,35
mb_a1800,multiple_choice,Another country: specify,¿Qué país?,1,Guatemala,Guatemala,36
mb_a1800,multiple_choice,Another country: specify,¿Qué país?,2,El Salvador,El Salvador,36
mb_a1800,multiple_choice,Another country: specify,¿Qué país?,3,Nicaragua,Nicaragua,36
mb_a1800,multiple_choice,Another country: specify,¿Qué país?,4,Other,Otro,36
mb_a1900a,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",a,Spanish/Castillian,Español/Castellano,37
mb_a1900b,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",b,Ch'orti',Ch'orti',37
mb_a1900c,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",c,Garifuna,Garífuna,37
mb_a1900d,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",d,English,Inglés,37
mb_a1900e,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",e,Tol,Tol,37
mb_a1900f,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",f,Lenca,Lenca,37
mb_a1900g,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",g,Miskito,Miskito,37
mb_a1900h,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",h,Pech,Pech,37
mb_a1900i,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",i,Mayangna,Mayangna,37
mb_a1900j,multiple_select,"What language or languages does/did your grandfather  on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",j,Other,Otro,37
mb_a2000,multiple_choice,Where was your paternal grandmother born?,¿Dónde nació su abuela por parte de su papa?,1,This village,Esta aldea,38
mb_a2000,multiple_choice,Where was your paternal grandmother born?,¿Dónde nació su abuela por parte de su papa?,2,Another place in Honduras,Otro lugar en Honduras,38
mb_a2000,multiple_choice,Where was your paternal grandmother born?,¿Dónde nació su abuela por parte de su papa?,3,Outside of Honduras,Fuera de Honduras,38
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,1,Atlántida,Atlántida,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,2,Choluteca,Choluteca,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,3,Colón,Colón,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,4,Comayagua,Comayagua,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,5,Copán,Copán,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,6,Cortes,Cortes,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,7,El Paraíso,El Paraíso,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,8,Francisco Morazán,Francisco Morazán,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,9,Gracias a Dios,Gracias a Dios,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,10,Intibucá,Intibucá,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,11,Islas de la Bahía,Islas de la Bahía,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,12,La Paz,La Paz,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,13,Lempira,Lempira,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,14,Ocotepeque,Ocotepeque,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,15,Olancho,Olancho,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,16,Santa Bárbara,Santa Bárbara,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,17,Valle,Valle,39
mb_a2100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,18,Yoro,Yoro,39
mb_a2200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,1,Copán Ruinas,Copán Ruinas,40
mb_a2200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,2,Cabañas,Cabañas,40
mb_a2200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,3,Santa Rita,Santa Rita,40
mb_a2200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,4,San Jeronimo,San Jeronimo,40
mb_a2200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,5,Other,Otro,40
mb_a2300,multiple_choice,Another country: specify,¿Qué país?,1,Guatemala,Guatemala,41
mb_a2300,multiple_choice,Another country: specify,¿Qué país?,2,El Salvador,El Salvador,41
mb_a2300,multiple_choice,Another country: specify,¿Qué país?,3,Nicaragua,Nicaragua,41
mb_a2300,multiple_choice,Another country: specify,¿Qué país?,4,Other,Otro,41
mb_a2400a,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",a,Spanish/Castillian,Español/Castellano,42
mb_a2400b,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",b,Ch'orti',Ch'orti',42
mb_a2400c,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",c,Garifuna,Garífuna,42
mb_a2400d,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",d,English,Inglés,42
mb_a2400e,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",e,Tol,Tol,42
mb_a2400f,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",f,Lenca,Lenca,42
mb_a2400g,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",g,Miskito,Miskito,42
mb_a2400h,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",h,Pech,Pech,42
mb_a2400i,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",i,Mayangna,Mayangna,42
mb_a2400j,multiple_select,"What language or languages does/did your grandmother on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",j,Other,Otro,42
mb_a2500,multiple_choice,Where was your grandfather on your father's side born?,¿Dónde nació su abuelo por parte de su papa?,1,This village,Esta aldea,43
mb_a2500,multiple_choice,Where was your grandfather on your father's side born?,¿Dónde nació su abuelo por parte de su papa?,2,Another place in Honduras,Otro lugar en Honduras,43
mb_a2500,multiple_choice,Where was your grandfather on your father's side born?,¿Dónde nació su abuelo por parte de su papa?,3,Outside of Honduras,Fuera de Honduras,43
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,1,Atlántida,Atlántida,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,2,Choluteca,Choluteca,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,3,Colón,Colón,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,4,Comayagua,Comayagua,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,5,Copán,Copán,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,6,Cortes,Cortes,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,7,El Paraíso,El Paraíso,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,8,Francisco Morazán,Francisco Morazán,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,9,Gracias a Dios,Gracias a Dios,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,10,Intibucá,Intibucá,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,11,Islas de la Bahía,Islas de la Bahía,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,12,La Paz,La Paz,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,13,Lempira,Lempira,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,14,Ocotepeque,Ocotepeque,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,15,Olancho,Olancho,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,16,Santa Bárbara,Santa Bárbara,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,17,Valle,Valle,44
mb_a2600,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,18,Yoro,Yoro,44
mb_a2700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,1,Copán Ruinas,Copán Ruinas,45
mb_a2700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,2,Cabañas,Cabañas,45
mb_a2700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,3,Santa Rita,Santa Rita,45
mb_a2700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,4,San Jeronimo,San Jeronimo,45
mb_a2700,multiple_choice,If Copan: What municipality?,¿Qué municipio?,5,Other,Otro,45
mb_a2800,multiple_choice,Another country: specify,¿Qué país?,1,Guatemala,Guatemala,46
mb_a2800,multiple_choice,Another country: specify,¿Qué país?,2,El Salvador,El Salvador,46
mb_a2800,multiple_choice,Another country: specify,¿Qué país?,3,Nicaragua,Nicaragua,46
mb_a2800,multiple_choice,Another country: specify,¿Qué país?,4,Other,Otro,46
mb_a2900a,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",a,Spanish/Castillian,Español/Castellano,47
mb_a2900b,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",b,Ch'orti',Ch'orti',47
mb_a2900c,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",c,Garifuna,Garífuna,47
mb_a2900d,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",d,English,Inglés,47
mb_a2900e,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",e,Tol,Tol,47
mb_a2900f,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",f,Lenca,Lenca,47
mb_a2900g,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",g,Miskito,Miskito,47
mb_a2900h,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",h,Pech,Pech,47
mb_a2900i,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",i,Mayangna,Mayangna,47
mb_a2900j,multiple_select,"What language or languages does/did your grandfather on your father's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuelo por parte de su papa? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE : ¿El habla/hablaba alguna otra lengua o idioma?",j,Other,Otro,47
mb_ab0100,integer,"How often do you go to any other place outside of this village, whether it be for work, errands or to visit other people, travel, etc.?","¿Cómo cuánto diría usted que se gastó en su hogar para cubrir todos los gastos durante el mes pasado? Piense en todo lo que se tuvo que comprar, como ser comida, ropa, transporte, alquiler, luz/agua, insumos para sus cultivos o animales, o cualquier otra cosa que se consuma en su hogar.",NA,NA,NA,48
mb_ab0200,multiple_choice,"How often do you go to any other place outside of this village, whether it be for work, errands or to visit other people, travel, etc.?","¿Qué tan seguido va a otro lugar fuera de esta comunidad, ya sea por trabajo, para hacer mandados, visitar a otras personas, de paseo etc?",1,Every day,Todos los días,49
mb_ab0200,multiple_choice,"How often do you go to any other place outside of this village, whether it be for work, errands or to visit other people, travel, etc.?","¿Qué tan seguido va a otro lugar fuera de esta comunidad, ya sea por trabajo, para hacer mandados, visitar a otras personas, de paseo etc?",2,At least once a week,Por lo menos una vez a la semana,49
mb_ab0200,multiple_choice,"How often do you go to any other place outside of this village, whether it be for work, errands or to visit other people, travel, etc.?","¿Qué tan seguido va a otro lugar fuera de esta comunidad, ya sea por trabajo, para hacer mandados, visitar a otras personas, de paseo etc?",3,At least once a month,Por lo menos una vez al mes,49
mb_ab0200,multiple_choice,"How often do you go to any other place outside of this village, whether it be for work, errands or to visit other people, travel, etc.?","¿Qué tan seguido va a otro lugar fuera de esta comunidad, ya sea por trabajo, para hacer mandados, visitar a otras personas, de paseo etc?",4,Rarely/Never,Raramente/Nunca,49
mb_ac0100a,multiple_select,"Do you spend time near these types of domestic animals, be it in your own home or in any place you visit frequently, at least a few days a month?","¿Usted pasa tiempo cerca de los siguientes animales domésticos, por lo menos algunos días al mes, ya sea en el predio de su hogar u otros lugares que usted visita con frecuencia?",a,Cats,Gatos,50
mb_ac0100b,multiple_select,"Do you spend time near these types of domestic animals, be it in your own home or in any place you visit frequently, at least a few days a month?","¿Usted pasa tiempo cerca de los siguientes animales domésticos, por lo menos algunos días al mes, ya sea en el predio de su hogar u otros lugares que usted visita con frecuencia?",b,Dogs,Perros,50
mb_ac0100c,multiple_select,"Do you spend time near these types of domestic animals, be it in your own home or in any place you visit frequently, at least a few days a month?","¿Usted pasa tiempo cerca de los siguientes animales domésticos, por lo menos algunos días al mes, ya sea en el predio de su hogar u otros lugares que usted visita con frecuencia?",c,Parakeets,Loros,50
mb_ac0100d,multiple_select,"Do you spend time near these types of domestic animals, be it in your own home or in any place you visit frequently, at least a few days a month?","¿Usted pasa tiempo cerca de los siguientes animales domésticos, por lo menos algunos días al mes, ya sea en el predio de su hogar u otros lugares que usted visita con frecuencia?",d,Rabbits,Conejos,50
