variable_name,repeated_question,question_type,survey,question_english_women,question_english_men,option_code,option_english_women,option_english_men
e1300,0,integer,"w1 baseline, all","How old were you when you had your first menstrual period? IF IT HAS NOT STARTED, ENTER 00",,missing,missing,missing
e1400,0,multiple_choice,"w1 baseline, all",Are you currently taking folic acid tablets?,,"1, 2","Yes, No",missing
e1500,0,multiple_choice,"w1 baseline, all","In the last 7 days, how many folic acid tablets have you taken?",,"0, 1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 5, 6, 7",missing
f0100,0,multiple_choice,"w1 baseline, w2 baseline, baseline w3",Now I would like to ask about all the births you have had during your life. Have you ever given birth to a live child?,"Now I would like to ask about any children you have had during your life. I am interested in all of the children that are biologically yours, even if they are not legally yours or do not have your last name. Has a woman ever given live birth to a child of yours?","1, 2","Yes, No","Yes, No"
f0200,0,integer,"w1 baseline, w2 baseline, baseline w3",How many times have you given birth to a living child?,How many times have you fathered a living child?,missing,missing,missing
f0300,0,integer,"w1 baseline, w2 baseline",How many girls?,SAME,missing,missing,missing
f0400,0,integer,"w1 baseline, w2 baseline",How many of them are still alive?,SAME,missing,missing,missing
f0500,0,integer,"w1 baseline, w2 baseline",How many boys?,SAME,missing,missing,missing
f0600,0,integer,"w1 baseline, w2 baseline",How many of them are still alive?,SAME,missing,missing,missing
f0700,0,integer,"w1 baseline, all",How old were you when you had your first pregancy?,How old were you when your first child was born?,missing,missing,missing
f0800,0,multiple_choice,"w1 baseline, w2 baseline, baseline w3",Have you ever had a pregnancy that miscarried or given birth to a child who wasn't alive?,,"1, 2","Yes, No",missing
f0900,0,integer,"w1 baseline, all",How many pregnancies ended in miscarriage or in the birth of a child that was not alive?,,missing,missing,missing
f8884,0,intro,"w1 baseline, w2 baseline, baseline w3","Now I would like to ask some questions about your most recent birth, whether or not that child is still alive.",SAME,missing,missing,missing
f1000,1,roster,"w1 baseline, w2 baseline, baseline w3",What is the name of that child?,SAME,missing,missing,missing
f1100,1,multiple_choice,"w1 baseline, all",Is [NEW CHILD X] a boy or a girl?,SAME,"1, 2","Boy, Girl",SAME
f1200,1,multiple_choice,"w1 baseline, all",Is [NEW CHILD X] alive?,SAME,"1, 2","Yes, No",SAME
f1300,1,year_month_day,"w1 baseline, all",What is [NEW CHILD X]'s date of birth?,SAME,missing,missing,missing
f1400,1,integer,"w1 baseline, w2 baseline",What is (or would be)  [NEW CHILD X]'s age in years?,SAME,missing,missing,missing
f1500,1,multiple_choice,"w1 baseline, all",INTERVIEWER: THE CHILD'S AGE IS:,SAME,"1, 2, 3, 4","Younger than 6 months, Between 6 months and 5 years, Between 6 and 17 years old, 18 or older",SAME
f1600,1,multiple_choice,"w1 baseline, all",Is [NEW CHILD X] living with you?,SAME,"1, 2","Yes, No",SAME
f1700p1,1,integer,"w1 baseline, all",How old was [NEW CHILD X] when he/she died?,SAME,missing,missing,missing
f1700p2,1,multiple_choice,"w1 baseline, all",How old was [NEW CHILD X] when he/she died?,SAME,"1, 2, 3, 4","Days, Weeks, Months, Years",SAME
f1800,1,multiple_choice,"w1 baseline, all","When you got pregnant with [NEW CHILD X], did you want to get pregnant at that time?","When you found out your wife/partner was pregnant with [NEW CHILD X], did you want to have a child at that time?","1, 2","Yes, No","Yes, No"
f1900,1,multiple_choice,"w1 baseline, all",Did you seek prenatal care at any time during this pregnancy?,Did [NEW CHILD X]'s mother seek prenatal care at any time during this pregnancy?,"1, 2","Yes, No","Yes, No"
f2000,1,integer,"w1 baseline, all",How many months pregnant were you when you went to your first prenatal check up?,How many months pregnant was [NEW CHILD X]'s mother when she went to her first prenatal check-up?,missing,missing,missing
f2100,1,multiple_choice,"w1 baseline, all","At any time you got prenatal care, did the child's father accompany you to the health unit?","At any time [NEW CHILD X]'s mother got prenatal care, did you accompany her to the health unit?","1, 2","Yes, No","Yes, No"
f2200,1,multiple_choice,"w1 baseline, all",Did you make a birth plan for this pregnancy?,SAME,"1, 2","Yes, No",SAME
f2300,1,multiple_choice,"w1 baseline, all","During this pregnancy did you have money saved for emergency use, including transportation or unforeseen medical needs?",SAME,"1, 2","Yes, No",SAME
f2400a,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,a,Bleeding,Bleeding
f2400b,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,b,Seizures,Seizures
f2400c,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,c,Headache,Headache
f2400d,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,d,Ringing in the ears,Ringing in the ears
f2400e,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,e,Dizziness,Dizziness
f2400f,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,f,Difficulty urinating,Difficulty urinating
f2400g,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,g,Reduction or absence of fetal movements,Reduction or absence of fetal movements
f2400h,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,h,Water breaking,Water breaking
f2400i,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,i,Fever,Fever
f2400j,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,j,"Swelling of the face, hands, and feet","Swelling of the face, hands, and feet"
f2400k,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,k,"Pallor (especially of the lips, tongue, or palms)","Pallor (especially of the lips, tongue, or palms)"
f2400l,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,l,Difficulty gaining weight,Difficulty gaining weight
f2400m,1,multiple_select,"w1 baseline, all",Did you experience any of the following problems during your pregnancy with [NEW CHILD X]?,Did [NEW CHILD X]'s mother experience any of the following problems during her pregnancy with [f0910]?,m,None of the above,None of the above
f2500,1,multiple_choice,"w1 baseline, all",Did you seek medical care at a health facility for this/these problems?,Did she seek medical care at a health facility for this/these problems?,"1, 2","Yes, No","Yes, No"
f2600,1,multiple_choice,"w1 baseline, all",Did [NEW CHILD X]'s father accompany you to the health facility?,Did you accompany [NEW CHILD X]'s mother to the health facility?,"1, 2","Yes, No","Yes, No"
f2700,1,multiple_choice,"w1 baseline, all",Where did you give birth to [NEW CHILD X]?,Where did [NEW CHILD X]'s mother give birth to [f0910]?,"1, 2, 3, 4","Health unit (public or private hospital/clinic), At home/someone else's home, Car or ambulance en route to medical facility, Other","Health unit (public or private hospital/clinic), At home/someone else's home, Car or ambulance en route to medical facility, Other"
f2800,1,multiple_choice,"w1 baseline, all",Who decided where the birth should take place?,Who decided where the birth should take place?,"1, 2, 3, 4, 5, 6, 7, 8","Respondent, Partner, Respondent and partner jointly, Midwife, Respondent's mother, Respondent's mother in law, Doctor, Other","Respondent, Partner, Respondent and partner jointly, Midwife, Respondent's mother, Respondent's mother in law, Doctor, Other"
f2900,1,multiple_choice,"w1 baseline, all",Did [NEW CHILD X]'s father wait at the place you gave birth while you were in labor and giving birth to [NEW CHILD X]?,Did you wait at the place where [NEW CHILD X]'s mother gave birth to [f0910]?,"1, 2","Yes, No","Yes, No"
f3000a,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,a,Did not have time,Did not have time
f3000b,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,b,Was at work,Was at work
f3000c,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,c,Not wanted there by mother,Not wanted there by mother
f3000d,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,d,Did not want to be there,Did not want to be there
f3000e,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,e,Men do not attend births,Men do not attend births
f3000f,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,f,Men are not permitted by the clinic or hospital to attend births,Men are not permitted by the clinic or hospital to attend births
f3000h,1,multiple_select,"w1 baseline, all",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,h,Was caring for the other children/house,Was caring for the other children/house
f3000j,1,multiple_select,"w1 baseline, w2, w3",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,j,Was sick/disabled,Was sick/disabled
f3000k,1,multiple_select,"w1 baseline, w2, w3",What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,k,Lives far away/in another city/in the US,Lives far away/in another city/in the US
f3000l,1,multiple_select,all,What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,l,Deceased,missing
f3000m,1,multiple_select,all,What are the reasons he was not present while [NEW CHILD X] was being born?,What are the reasons you were not present while [NEW CHILD X] was being born?,m,Other,Other
f3100,1,multiple_choice,"w1 baseline, all",Was [NEW CHILD X]'s father in the room with you when you were giving birth to [NEW CHILD X]?,Were you in the room with [NEW CHILD X]'s mother when she was giving birth to [f0910]?,"1, 2","Yes, No","Yes, No"
f3200,1,multiple_choice,"w1 baseline, all",Would you have preferred that [NEW CHILD X]'s father had been in the room with you when you were giving birth to [NEW CHILD X]?,Would you have preferred to have been in the room with [NEW CHILD X]'s mother when she was giving birth to [f0910]?,"1, 2","Yes, No","Yes, No"
f3300,1,multiple_choice,"w1 baseline, all",Was this a cesarean birth?,SAME,"1, 2","Yes, No",SAME
f3400,1,multiple_choice,"w1 baseline, all",When you went to the clinic to give birth did you feel that you were made to wait when you needed to be seen immediately?,"When [NEW CHILD X]'s mother went to the clinic to give birth to [f0910], do you feel she was made to wait when she needed immediate care?","1, 2","Yes, No","Yes, No"
f3500,1,multiple_choice,"w1 baseline, all",Would you return to this unit if you were to have another birth?,Would you return to this unit if your wife/partner were to have another birth?,"1, 2","Yes, No","Yes, No"
f8887,1,intro,"w1 baseline, all",Now we will ask you some questions about your family's experiences after [NEW CHILD X]'s birth,SAME,missing,missing,missing
f3600,1,multiple_choice,"w1 baseline, all",Did you have a health check up while you were home after the birth of [NEW CHILD X] (either at home or a health clinic)?,"While [NEW CHILD X]'s mother was at home after the birth of [f0910], did she have a health check-up (either at home or at a health unit) ?","1, 2","Yes, No","Yes, No"
f3700,1,integer,"w1 baseline, all",How many days after the birth did you have this health check-up?,How many days after the birth did she have this health check-up?,missing,missing,missing
f3800,1,multiple_choice,"w1 baseline, all",Who checked her health during this time?,SAME,"1, 2, 3, 4, 5, 6, 7, 8","Doctor at health center, Nurse at health center, Family health team member (ESFAM), Midwife, Private clinic, Public clinic/hospital, Health promotor, Other",SAME
f3900a,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,a,Heavy vaginal bleeding,Heavy vaginal bleeding
f3900b,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,b,Severe pain in lower abdomen,Severe pain in lower abdomen
f3900c,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,c,Fever,Fever
f3900d,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,d,Vaginal discharge / pus / foul smelling vaginal discharge,Vaginal discharge / pus / foul smelling vaginal discharge
f3900e,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,e,Severe headache,Severe headache
f3900f,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,f,Blurred vision,Blurred vision
f3900g,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,g,Convulsions or Fits,Convulsions or Fits
f3900h,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,h,Red painful area or lump in breast,Red painful area or lump in breast
f3900i,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,i,Retained placenta,Retained placenta
f3900j,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,j,Ruptured vagina,Ruptured vagina
f3900k,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,k,Weak and faint,Weak and faint
f3900l,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,l,Abdominal tenderness (painful or hard abdomen),Abdominal tenderness (painful or hard abdomen)
f3900m,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,m,Breast pain or tenderness,Breast pain or tenderness
f3900n,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,n,Sadness / Depression,Sadness / Depression
f3900o,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,o,Problem related surgery/cesarean section,Problem related surgery/cesarean section
f3900p,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,p,High/low blood pressure,High/low blood pressure
f3900q,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,q,None of the above,None of the above
f3900r,1,multiple_select,"w1 baseline, all",Did you experience any of these problems after [NEW CHILD X] was born? (Select all that apply),Did [NEW CHILD X]'s mother experience any of these problems after [f0910] was born?,r,Other,Other
f4000,1,multiple_choice,"w1 baseline, all",Did you seek treatment at a health facility for this/these problems?,Did she seek treatment at a health facility for this/these problems?,"1, 2","Yes, No","Yes, No"
f4100,1,multiple_choice,"w1 baseline, all",Did [NEW CHILD X]'s father accompany you to the health facility?,Did you accompany [NEW CHILD X]'s mother to the health facility?,"1, 2","Yes, No","Yes, No"
f4200,1,multiple_choice,"w1 baseline, all",Was [NEW CHILD X] born earlier than expected?,SAME,"1, 2","Yes, No",SAME
f4300,1,multiple_choice,"w1 baseline, all",How large was [NEW CHILD X] when he/she was born?,SAME,"1, 2, 3","Normal size, Smaller than normal, Larger than normal",SAME
f4400,1,multiple_choice,"w1 baseline, all","While you were home after [NEW CHILD X] was born, did anyone check his/her health? (either at a health unit or at home)?",SAME,"1, 2","Yes, No",SAME
f4500,1,integer,"w1 baseline, all",How many days after the birth did [NEW CHILD X] have this health check-up?,SAME,missing,missing,missing
f4600,1,multiple_choice,"w1 baseline, all",Who checked [NEW CHILD X]'s health?,SAME,"a, b, c, d, e, f, g, h, i","Doctor at health center, Nurse at health center, Family health team member (ESFAM), Midwife, AIN-C monitor, Private clinic, Public hospital/clinic, Health promotor, Other",SAME
f4700,1,multiple_choice,"w1 baseline, w2, w3","During the first seven days of [NEW CHILD X]’s life, was [f0910] kept wrapped in a blanket or other clean cloth?",SAME,"1, 2","Yes, No",SAME
f4800p1,1,integer,"w1 baseline, all","When you were home after the birth of [NEW CHILD X], when was she/he given a bath (placing baby's body in water) for the first time?",SAME,missing,missing,missing
f4800p2,1,multiple_choice,"w1 baseline, all","When you were home after the birth of [NEW CHILD X], when was she/he given a bath (placing baby's body in water) for the first time? IS ANSWER IN HOURS OR DAYS?",SAME,"1, 2","hours, days",SAME
f4900a,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,a,Oil,SAME
f4900b,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,b,Coffee,SAME
f4900c,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,c,Iodine,SAME
f4900d,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,d,Alcohol,SAME
f4900e,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,e,Quina water,SAME
f4900f,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,f,Powder,SAME
f4900g,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,g,Burn or apply something hot,SAME
f4900h,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,h,Fajero,SAME
f4900i,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,i,Ashes,SAME
f4900j,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,j,Umbilical clamp/clothespin,SAME
f4900k,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,k,Thiomersal,SAME
f4900l,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,l,Peroxide,SAME
f4900m,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,m,Nothing,SAME
f4900n,1,multiple_select,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, what was applied on the cord stump? DO NOT READ RESPONSES",SAME,n,Other,SAME
f5000,1,multiple_choice,"w1 baseline, all","In the first seven days after [NEW CHILD X] was born, did anyone wrap a fajero or ombliguero around him/her?",SAME,"1, 2","Yes, No",SAME
f5100a,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,a,Respondent,SAME
f5100b,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,b,Other parent,SAME
f5100c,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,c,Grandmother,SAME
f5100d,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,d,Grandfather,SAME
f5100e,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,e,Other family member,SAME
f5100f,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,f,Midwife,SAME
f5100g,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,g,Neighbor/friend,SAME
f5100h,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,h,Other,SAME
f5100i,1,multiple_select,"w1 baseline, all",Did anyone in the family hold [NEW CHILD X] skin to skin (unclothed directly to your skin) during the first month of his/her life? IF YES: Who held [f0910] skin to skin?,SAME,i,No,SAME
f5200a,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,a,Fever,SAME
f5200b,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,b,Diarrhea,SAME
f5200c,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,c,Vomiting,SAME
f5200d,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,d,Difficulty breathing,SAME
f5200e,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,e,Poor appetite,SAME
f5200f,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,f,Redness or bleeding around cord,SAME
f5200g,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,g,Pus in the umbilical cord,SAME
f5200h,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,h,Skin that was cold to the touch,SAME
f5200i,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,i,Cough,SAME
f5200j,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,j,Cold,SAME
f5200k,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,k,Asthma,SAME
f5200l,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,l,Ear pain,SAME
f5200m,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,m,Colic/stomach pain,SAME
f5200n,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,n,Pneumonia,SAME
f5200o,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,o,None of the above,SAME
f5200p,1,multiple_select,"w1 baseline, all",Did [NEW CHILD X] experience any of these problems within the first month after his/her birth? (SELECT ALL THAT APPLY),SAME,p,Other,SAME
f5300,1,multiple_choice,"w1 baseline, all",Was [NEW CHILD X] taken to a health facility for these problems?,SAME,"1, 2","Yes, No",SAME
f5400,1,multiple_choice,"w1 baseline, all",Did [NEW CHILD X]'s father accompany him/her to this health visit?,Did you accompany [NEW CHILD X] to this health visit?,"1, 2","Yes, No","Yes, No"
f5500,1,multiple_choice,"w1 baseline, w2, w3",Did you ever breastfeed [NEW CHILD X]?,Did [NEW CHILD X]'s mother ever breastfeed [f0910]?,"1, 2","Yes, No","Yes, No"
f5600,1,multiple_choice,"w1 baseline, all",What did you primarily use to feed [NEW CHILD X] during his/her first 6 months?,What was primarily used to feed [NEW CHILD X] during his/her first 6 months?,"1, 2, 3, 4, 5, 6","Infant formula, Cow milk, Canned or powdered milk, Goat milk, Sugar or glucose water, Other","Infant formula, Cow milk, Canned or powdered milk, Goat milk, Sugar or glucose water, Other"
f5700,1,multiple_choice,"w1 baseline, all",What have you primarily used to feed [NEW CHILD X] since he/she was born?,What has been primarily used to feed [NEW CHILD X] since he/she was born?,"1, 2, 3, 4, 5, 6","Infant formula, Cow milk, Canned or powdered milk, Goat milk, Sugar or glucose water, Other","Infant formula, Cow milk, Canned or powdered milk, Goat milk, Sugar or glucose water, Other"
f5800,1,multiple_choice,"w1 baseline, all",How long after birth did you first put [NEW CHILD X] to the breast?,How long after birth was [NEW CHILD X] first put to the breast?,"1, 2, 3, 4","Immediately after birth, After a few hours, The next day, A few days after birth when the milk came in","Immediately after birth, After a few hours, The next day, A few days after birth when the milk came in"
f5900,1,multiple_choice,"w1 baseline, all","In the first three days after delivery, was [NEW CHILD X] given anything to drink other than breast milk?",SAME,"1, 2","Yes, No",SAME
f6000a,1,multiple_select,"w1 baseline, all",What was [NEW CHILD X] given to drink? PROBE: Anything else? RECORD ALL. DO NOT READ RESPONSES,SAME,a,Infant formula,SAME
f6000b,1,multiple_select,"w1 baseline, all",What was [NEW CHILD X] given to drink? PROBE: Anything else? RECORD ALL. DO NOT READ RESPONSES,SAME,b,Canned or powdered milk,SAME
f6000c,1,multiple_select,"w1 baseline, all",What was [NEW CHILD X] given to drink? PROBE: Anything else? RECORD ALL. DO NOT READ RESPONSES,SAME,c,Cow or goat milk,SAME
f6000d,1,multiple_select,"w1 baseline, all",What was [NEW CHILD X] given to drink? PROBE: Anything else? RECORD ALL. DO NOT READ RESPONSES,SAME,d,Chupon,SAME
f6000e,1,multiple_select,"w1 baseline, all",What was [NEW CHILD X] given to drink? PROBE: Anything else? RECORD ALL. DO NOT READ RESPONSES,SAME,e,Honey,SAME
f6000f,1,multiple_select,"w1 baseline, all",What was [NEW CHILD X] given to drink? PROBE: Anything else? RECORD ALL. DO NOT READ RESPONSES,SAME,f,Plain water,SAME
